GUBERNATURA
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,969,3,966,81.1764,928,77.9831,2.1008,38,524789,328842,327026,62.3157

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040004E0104,040004E010405,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,E,04,1,5,365,347,8,0,7,77,2,2,2,175,80,1,1,1,3,0,0,0,0,0,6,357,357,702,8,,1,F,3d9bbe832aaac440ae8585d5578d78a78a1aaa7b9815b2cc348783cb44d40c7d,07/06/2021 01:53:00,07/06/2021 01:56:23,07/06/2021 02:00:07,CATD,ESCANER,ACTA PREP
040004E0200,040004E020005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,00,1,5,374,363,6,367,9,80,3,5,1,188,59,5,2,2,5,2,0,0,2,0,4,367,367,720,6,,1,F,d5736c7873629b1462c3b2bafd4866722b5e2cebe568928d70996bfcc94854aa,07/06/2021 01:03:00,07/06/2021 01:05:25,07/06/2021 01:20:06,CATD,ESCANER,ACTA PREP
040004E0201,040004E020105,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,01,1,5,390,344,5,350,6,83,0,2,2,189,59,4,2,0,0,0,0,0,0,0,3,350,350,720,5,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,a2faa739cbbf6df7710bbe2a14a566e568678fe64e52d2db80fd54db8a0a64bb,07/06/2021 00:20:00,07/06/2021 00:24:00,07/06/2021 00:40:06,CATD,ESCANER,ACTA PREP
040004E0202,040004E020205,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,02,1,5,420,319,3,319,4,75,0,2,3,156,68,2,1,2,0,0,0,0,0,0,6,319,319,720,3,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,02616c09f29c2eaed5941376018ed9f609dda1776c4a194bb7d85bd454861c31,07/06/2021 05:02:00,07/06/2021 05:04:43,07/06/2021 05:20:05,CATD,ESCANER,ACTA PREP
040004E0203,040004E020305,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,03,1,5,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040004E0204,040004E020405,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,04,1,5,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040005B0100,040005B010005,04,CAMPECHE,007,007. TENABO,0005,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,
040005C0100,040005C010005,04,CAMPECHE,007,007. TENABO,0005,01,C,00,1,5,178,362,6,368,5,88,1,3,5,168,77,1,2,2,7,0,0,0,1,0,8,368,368,523,6,,1,F,120b9ea4e1cfda40ced0200c1a3c6b5ae35b38296cc9ed71957a34df1c2e9a7b,07/06/2021 12:59:00,07/06/2021 13:04:41,07/06/2021 13:20:05,CATD,ESCANER,ACTA PREP
040006B0100,040006B010005,04,CAMPECHE,007,007. TENABO,0006,01,B,00,1,5,170,359,7,366,3,111,2,2,4,157,74,3,0,0,2,2,0,1,0,0,5,366,366,516,7,,1,F,15882c46d04d3dd8e5678f7acbf21d11694a07dbe8a980de0f4809f5d6559cf0,07/06/2021 09:04:00,07/06/2021 09:07:33,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040006C0100,040006C010005,04,CAMPECHE,007,007. TENABO,0006,01,C,00,1,5,152,378,5,382,6,106,0,2,1,161,89,3,0,0,6,1,0,0,2,0,5,382,382,515,5,,1,F,aa4a9ec1a6ea31a38f07f5435764d1df3ed71abd190fdff425e5c26eb8fe915e,07/06/2021 09:11:00,07/06/2021 09:17:49,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040007B0100,040007B010005,04,CAMPECHE,007,007. TENABO,0007,01,B,00,1,5,142,360,7,367,3,105,0,8,1,154,74,4,2,0,4,2,0,0,2,0,8,367,367,489,7,,1,F,8ab935243923b2824113cc9e8c373a86928c58569c50854e70d557d66896f4a8,07/06/2021 12:23:00,07/06/2021 12:27:54,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040007C0100,040007C010005,04,CAMPECHE,007,007. TENABO,0007,01,C,00,1,5,136,371,3,373,3,103,2,2,3,185,63,3,2,1,1,1,0,0,1,0,3,373,373,489,3,,1,F,b58c1e7bd21471a24429e48f799d3d17dd24a11cdff08dcc685470ec1ba0949e,07/06/2021 12:26:00,07/06/2021 12:30:17,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040008B0100,040008B010005,04,CAMPECHE,007,007. TENABO,0008,01,B,00,1,5,122,279,9,279,8,79,0,2,5,112,63,0,1,1,1,0,0,0,0,0,7,279,279,381,9,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,68ee058ab76b86d0eb4780e0c553d055d5a96b8d786b748728d45ccbd15c4d86,07/06/2021 08:57:00,07/06/2021 09:07:06,,CATD,ESCANER,ACTA PREP
040008C0100,040008C010005,04,CAMPECHE,007,007. TENABO,0008,01,C,00,1,5,119,276,6,282,6,76,0,4,2,125,56,1,1,0,2,0,0,1,0,0,8,282,282,381,6,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,275a79db2f97535b28502efb7d1f725dfef751a2693e77cf7cdef80044dc07d6,07/06/2021 08:51:00,07/06/2021 08:57:55,07/06/2021 09:00:05,CATD,ESCANER,ACTA PREP
040009B0100,040009B010005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,01,B,00,1,5,254,433,7,444,2,103,2,2,1,200,114,1,2,3,9,2,0,0,1,0,2,444,444,677,7,,1,F,ce1a116bbb553a1605998a4b930436cdaf75fddb442148768a63e0d137b9880c,07/06/2021 06:55:00,07/06/2021 06:57:11,07/06/2021 07:00:07,CATD,ESCANER,ACTA PREP
040009C0100,040009C010005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,01,C,00,1,5,251,439,7,445,6,117,1,1,4,192,106,1,2,1,3,4,0,0,3,0,4,445,445,677,7,,1,F,2bdcc3e09dc722671fd8943b6efa89d1b570e1a55602a1e18a7ced2d3b137694,07/06/2021 06:57:00,07/06/2021 06:59:16,07/06/2021 07:20:05,CATD,ESCANER,ACTA PREP
040009C0200,040009C020005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
040009C0300,040009C030005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,03,C,00,1,5,262,425,10,435,6,95,1,0,7,199,109,0,2,1,6,3,0,0,1,0,5,435,435,677,10,,1,F,e32e9880a809bf15b93550e8e0770ad7aee929da3a8f98f00cf0c1bb5303879e,07/06/2021 07:20:00,07/06/2021 07:26:14,07/06/2021 07:40:05,CATD,ESCANER,ACTA PREP
040009C0400,040009C040005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,04,C,00,1,5,285,446,12,3,6,116,0,6,3,201,87,0,2,0,12,0,0,0,6,0,4,443,443,677,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,15fde4a7577c89acd8d047ab497137a6e3f7bc3f744345a89b6942219e60556a,07/06/2021 07:26:00,07/06/2021 07:28:37,07/06/2021 07:40:05,CATD,ESCANER,ACTA PREP
040009C0500,040009C050005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,05,C,00,1,5,276,412,8,420,7,106,2,1,3,183,101,2,1,0,7,1,0,0,0,0,6,420,420,676,8,,1,F,97a88ccc4c45a0a7e229eb8194b6080b3dfffc45240c525e8415c4884122bdd1,07/06/2021 07:24:00,07/06/2021 07:26:30,07/06/2021 07:40:05,CATD,ESCANER,ACTA PREP
