JUNTAS
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
271,166,3,163,60.1476,157,57.9335,2.214,6,76230,52400,0,68.7393

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040135B0100,040135B010007,04,CAMPECHE,002,TIXMUCUY,0135,01,B,00,2,7,92,376,0,376,2,155,4,4,1,167,32,1,0,0,0,0,0,0,0,10,376,376,448,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,a8c2e2094a4e51a63cf3f7958513d15631b26e2b706165610b81f59154e21091,07/06/2021 10:45:00,07/06/2021 11:00:15,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040135C0100,040135C010007,04,CAMPECHE,002,TIXMUCUY,0135,01,C,00,2,7,83,384,0,384,6,133,3,3,0,204,32,0,0,0,0,0,0,0,0,3,0,384,447,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,478176eedb4c81673761a76a0c58a37298d3e821fee594073eb00b97bfc22887,07/06/2021 11:26:00,07/06/2021 11:32:02,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
040136B0100,040136B010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0136,01,B,00,2,7,55,172,12,170,2,84,1,19,0,27,29,0,0,0,0,0,0,0,1,7,170,170,207,12,,1,F,3e662ae70ed4fffff7ba1e2cc37adc4d15c774f1be70e99f470228994ec7cb11,07/06/2021 11:22:00,07/06/2021 11:27:05,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
040138B0100,040138B010007,04,CAMPECHE,002,TIXMUCUY,0138,01,B,00,2,7,127,456,0,456,0,78,1,3,1,63,288,2,1,1,0,3,0,0,0,15,456,456,563,0,,1,F,ec9cb37c82c6d9806f43ffc14b6f999876dda2ac62399e65195c7556279a2b3f,07/06/2021 11:25:00,07/06/2021 11:29:24,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
040139B0100,040139B010007,04,CAMPECHE,001,PICH,0139,01,B,00,2,7,294,436,0,436,11,123,10,7,2,190,69,2,2,1,2,1,0,2,0,14,436,436,731,0,,1,F,9f4d012bc79b00344dd7ab0fb6d4246d283b5a81eb05efb32f6d51fccddb32f8,07/06/2021 11:12:00,07/06/2021 11:16:30,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040139C0100,040139C010007,04,CAMPECHE,001,PICH,0139,01,C,00,2,7,314,432,0,432,15,112,1,8,0,195,74,2,0,1,3,1,0,0,0,20,432,432,731,0,,1,F,13b6f9a61d65247de77910bb769225da3aa05efd42effa93ba0a3d601f83d741,07/06/2021 11:03:00,07/06/2021 11:09:43,07/06/2021 11:20:05,CATD,ESCANER,ACTA PREP
040139C0200,040139C020007,04,CAMPECHE,001,PICH,0139,02,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,731,,,,,,,,,,,
040139C0300,040139C030007,04,CAMPECHE,001,PICH,0139,03,C,00,2,7,312,421,0,420,9,105,2,5,3,186,85,3,4,0,0,2,0,0,0,16,420,420,731,0,,1,F,7254fee0912f5db831eea23cd0b1dc489c3ce435c4d00c4539ba72b1e28f2fd6,07/06/2021 11:17:00,07/06/2021 11:21:45,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
040140B0100,040140B010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0140,01,B,00,2,7,164,313,16,313,4,97,4,6,1,127,60,0,0,0,2,1,0,0,0,12,313,314,458,16,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,e6e7b36fd437014f9e48b73798d7f80fdb27a7af0fe9d6cbd30b5c0a6fb53c87,07/06/2021 11:12:00,07/06/2021 11:15:32,07/06/2021 11:20:05,CATD,ESCANER,ACTA PREP
040140C0100,040140C010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0140,01,C,00,2,7,163,315,0,315,8,103,0,5,2,130,54,1,1,1,0,0,0,0,1,9,315,315,458,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,e67c635ec6989e1df77b72673f32bbb71af9294495aade52cc3dc51c370b54eb,07/06/2021 11:09:00,07/06/2021 11:14:26,07/06/2021 11:20:05,CATD,ESCANER,ACTA PREP
