DIPUTACIONES LOCALES
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1200,976,3,976,81.3333,940,78.3333,2.1666,36,528596,327586,327475,61.9518

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040004E0104,040004E010403,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,E,04,1,3,369,347,4,0,19,59,2,3,5,149,98,1,4,2,1,2,0,0,0,8,353,353,702,4,,1,F,9ca844d5a6cc0341ee634b6548ce4193e8a53f853baf11901b031134c46707e1,07/06/2021 01:56:00,07/06/2021 02:06:09,07/06/2021 02:20:05,CATD,ESCANER,ACTA PREP
040004E0200,040004E020003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,00,1,3,378,358,5,358,14,68,3,8,1,165,75,8,4,1,4,1,0,0,0,6,358,358,720,5,,1,F,7952227a34f0de70c314d91f3638e1823169a06be7ecd6aac3866c1d062b661f,07/06/2021 05:25:00,07/06/2021 05:27:11,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
040004E0201,040004E020103,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,01,1,3,392,351,2,351,12,71,1,0,3,166,70,5,2,3,5,0,0,0,0,0,0,338,720,2,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,c8d2194099bf78eb8d93a1b4032498a4b30e522ac4700ceb0cfb0723c150f48d,07/06/2021 00:23:00,07/06/2021 00:29:44,07/06/2021 00:40:06,CATD,ESCANER,ACTA PREP
040004E0202,040004E020203,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,02,1,3,425,315,3,315,14,57,2,6,2,143,78,0,1,6,0,1,0,1,0,4,315,315,720,3,,1,F,ff58a2c2b72eb2def9ebba1f51de7adc81c6f343a681fda794529988523689d0,07/06/2021 00:36:00,07/06/2021 00:39:33,07/06/2021 01:00:06,CATD,ESCANER,ACTA PREP
040004E0203,040004E020303,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,03,1,3,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040004E0204,040004E020403,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,E,04,1,3,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040005B0100,040005B010003,04,CAMPECHE,007,007. TENABO,0005,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,
040005C0100,040005C010003,04,CAMPECHE,007,007. TENABO,0005,01,C,00,1,3,178,361,6,367,8,78,1,0,9,164,78,2,5,1,4,1,0,0,1,15,367,367,523,6,,1,F,9accdd86493e6d2ce47ca229a4dd132accdde732981156caab1f24901f6b6db5,07/06/2021 13:07:00,07/06/2021 13:16:01,07/06/2021 13:20:05,CATD,ESCANER,ACTA PREP
040006B0100,040006B010003,04,CAMPECHE,007,007. TENABO,0006,01,B,00,1,3,166,359,7,362,5,100,1,5,9,141,82,3,1,3,0,2,0,0,0,10,362,362,516,7,,1,F,a37da4b4f5e8b3b872bd9dc50c97cb90310ae11acde3bf60e38ecd6887a5313c,07/06/2021 09:07:00,07/06/2021 09:10:37,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040006C0100,040006C010003,04,CAMPECHE,007,007. TENABO,0006,01,C,00,1,3,153,378,1,379,11,93,1,4,4,143,107,1,2,2,4,0,0,0,0,7,379,379,515,1,,1,F,23c515822331b9716c5d3c8cf175c84372939d0990faec11c269e263c7a444cf,07/06/2021 09:13:00,07/06/2021 09:25:57,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040007B0100,040007B010003,04,CAMPECHE,007,007. TENABO,0007,01,B,00,1,3,147,360,2,362,5,76,1,5,8,156,92,4,1,1,1,1,0,0,0,11,362,362,489,2,,1,F,df7ffbdea67288dae203bd981851315bb76775902c4fc52c6ffbe66c859f91d2,07/06/2021 12:21:00,07/06/2021 12:25:46,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040007C0100,040007C010003,04,CAMPECHE,007,007. TENABO,0007,01,C,00,1,3,136,371,3,373,7,82,3,8,10,170,84,1,3,2,1,0,0,0,0,2,373,373,489,3,,1,F,81313f5e03cea82f3461787e00ba86fb3e6803d0cef965db800dfd7e2de8e1c5,07/06/2021 12:30:00,07/06/2021 12:34:08,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040008B0100,040008B010003,04,CAMPECHE,007,007. TENABO,0008,01,B,00,1,3,121,279,9,279,10,62,0,2,5,115,75,1,2,3,1,1,0,0,0,2,279,279,381,9,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,73f22f2defd7cb816ff7707c18cb86a24cc57401710e57470ff940a8da85c6c0,07/06/2021 09:01:00,07/06/2021 09:04:39,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040008C0100,040008C010003,04,CAMPECHE,007,007. TENABO,0008,01,C,00,1,3,119,276,6,282,9,59,0,4,4,132,58,3,3,1,2,0,0,0,0,7,282,282,381,6,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,dd5b570e79ed0c947cad9a6378fb21aa838748915f89ad2823a597db913c404f,07/06/2021 08:55:00,07/06/2021 08:57:56,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040009B0100,040009B010003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,01,B,00,1,3,258,435,4,439,12,108,1,9,9,161,115,3,2,4,10,0,0,0,0,5,0,439,677,4,,1,F,dcb5bdc96784220331fcab1fc810f5742af0948c6d5458d4e7322e261c5195a6,07/06/2021 07:01:00,07/06/2021 07:08:06,,CATD,ESCANER,ACTA PREP
