ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
4,8,PVEM,CELESTE PALACIOS PEREZ,CLAUDIA JAQUELINE CALDERON LOPEZ
4,8,MC,YOHANNA RAMOS ALEGRIA,SALOME SALVAÑO LOPEZ
4,8,MOR,MARIA VIOLETA BOLAÑOS RODRIGUEZ,ELSA BEATRIZ MONTES DE OCA MENDEZ
4,8,PES,JOSE DEL CARMEN GUZMAN PEREZ,MARIA DEL CARMEN ARCOS TEJERO
4,8,RSP,AMBAR AIMARA VILLASIS ARCOVEDO,RAQUEL DE LOS ANGELES RAMOS SANCHEZ
4,8,FM,ISAURO LOPEZ LUNA,CARLOS GONZALEZ METELIN
4,8,SUM-PAN-PRI-PRD,CANDELARIO DEL CARMEN ZAVALA GOMEZ,FARID ALEJANDRO HERNANDEZ MENDOZA
4,9,PT,ARACELI ALEJANDRINA DEL CARMEN RIVERA ARIAS,ANA JOCABEL CONTRERAS CORDERO
4,9,PVEM,LOURDES DEL CARMEN LOPEZ SANCHEZ,VIVIANA BOLON MARTINEZ
4,9,MC,MARTHA BEATRIZ SMITH REJON,CLAUDIA MARIA PALOMO NIÑO
4,9,MOR,JORGE PEREZ FALCONI,JOSE ALEJANDRO GUERRERO CABRERA
4,9,PES,CRISTINA CRUZ VIDAL,REINA DEL CARMEN CAMACHO RAMOS
4,9,RSP,MOISES AUDOMARO BERZUNZA DORANTES,AIDE MENDOZA LOPEZ
4,9,FM,ARTURO DEL CARMEN JIMENEZ DOMINGUEZ,BRAYAN PINEDA VAZQUEZ
4,9,SUM-PAN-PRI-PRD,MARIA DE LOS DOLORES OVIEDO RODRIGUEZ,CARMEN DE LA ROSA REYES RODRIGUEZ
4,10,PT,MIGUEL ANGEL RAMIREZ RUEDA,ERIK DE JESUS MAY PALMA
4,10,PVEM,JULIA AURORA CHONG GONZALEZ,PATRICIA VIRIDIANA VARGAS PEREZ
4,10,MC,ANA ISABEL FERRER KURI,ROSA AURORA SEVERINO LUNA
4,10,MOR,DALILA DEL CARMEN MATA PEREZ,CLAUDIA DE LOS ANGELES HERNANDEZ PAREDES
4,10,PES,HUGO ALONSO CASTRO EUAN,BRYAN ALEXI OSORIO CHAN
4,10,RSP,CLAUDET DEL CARMEN CAMEJO OCAÑA,FANY GUADALUPE OLAN LOPEZ
4,10,FM,BERTHA LOPEZ LUNA,ROSALINDA REYES MIJANGOS
4,10,SUM-PAN-PRI-PRD,ENRIQUE IVAN GONZALEZ LOPEZ,SERGIO ALFONSO PECH JIMENEZ
4,11,PT,MANUEL EDUARDO ZARATE MARTINEZ,LUIS ALFONSO MORALES FLORES
4,11,PVEM,FRED RAYMUNDO BALLINA DOMINGUEZ,MANUEL JESUS TAMAYO PECH
4,11,MC,SUSANA GUADALUPE TREJO CALDERON,ANGELICA MARIA GONZALEZ GONZALEZ
4,11,MOR,MARIA DEL PILAR MARTINEZ ACUÑA,TANAIRI NAGASHIRO FIERRO DIAZ
4,11,PES,OSCAR CRUZ DELGADO,ISABEL MARIA LOPEZ LAGUNA
4,11,RSP,KEVIN JORDAN LUNA VERDEJO,CECILIA MONSERRAT ALVAREZ HUERTA
4,11,FM,TERESA DEL JESUS BOCANEGRA GUILLERMO,MARICRUZ DEL JESUS CRUZ PEREZ
4,11,SUM-PAN-PRI-PRD,NEREYDA RE GANEM,MARTHA ELENA GARCIA LOPEZ
4,12,PT,ISLA DEL CARMEN SANTISBON PEREZ,ELIDA GUADALUPE PADILLA PEREZ
4,12,PVEM,VERONICA ISABEL ANGELES GONZALEZ,MAYRA SALAVARRIA MAY
4,12,MC,JORGE ALBERTO KURI ABREU,ROBERTO ISAID RIVERO ACOSTA
4,12,MOR,JORGE LUIS LOPEZ GAMBOA,JOSE HECTOR REJON SANCHEZ
4,12,PES,TERESITA DE JESUS GUTIERREZ PEREZ,REINA DEL CARMEN MENDOZA AGUILAR
4,12,RSP,ROGELIO FLORES GARCIA,OSMAND JESUS GARCIA GARCIA
4,12,FM,RUFINO CRUZ CRUZ,MARIANA HORTENSIA VELA DEL ANGEL
4,12,SUM-PAN-PRI-PRD,DOMITILA RICO CAMACHO,MARIA ASUNCION RODRIGUEZ LOPEZ
4,13,PT,GEORGINA SANTAMARIA ORTEGA,COREY VELASCO PEREZ
4,13,PVEM,JULIANA DEL ROSARIO PRIETO SAAVEDRA,IRMA CHAN CEL
4,13,MC,ABIGAIL GUTIERREZ MORALES,YURIDIA MORALES MANRIQUE
4,13,MOR,AURELIANO QUIRARTE RODRIGUEZ,FELIPE DEL JESUS GUEMES URIBE
4,13,PES,Nombre Apellido Apellido,Nombre Apellido Apellido
4,13,RSP,HEIDY DEL JESUS DIAZ MAY,GUADALUPE DEL CARMEN ARANDA MORALES
4,13,FM,HECTOR DE LA CRUZ GARCIA,REYES FLORES PEREZ
4,13,SUM-PAN-PRI-PRD,FERNANDO MANUEL CABALLERO BUENFIL,JOSE HERNANDEZ CRUZ
4,14,PT,MARICELA OCAÑA MERMEJO,CINTHIA GARCIA DIAZ
4,14,PVEM,MARIA DE LOURDES JARAMILLO ALBA,CONCEPCION GONZALEZ AUREO
4,14,MC,TERESA FARIAS GONZALEZ,MARISOL LOPEZ GONZALEZ
4,14,MOR,ROMAN MIJARES ELIZARRARAS,MARIA LETICIA LOPEZ GALINDO
4,14,PES,MARIA LAURA HIDALGO SANCHEZ,IVON ISSEL PECH RIVERA
4,14,RSP,Nombre Apellido Apellido,Nombre Apellido Apellido
4,14,FM,ALEJANDRO DELGADO HERNANDEZ,JOSE ALFREDO NUÑEZ DAVILA
4,14,SUM-PAN-PRI-PRD,RIGOBERTO FIGUEROA ORTIZ,EDGAR JOAQUIN RAMOS GRAJALES
4,15,PT,JUAN CARLOS HERNANDEZ CABALLERO,JAIME FERNANDO PECH ESCOBAR
4,15,PVEM,JOSE ALFREDO SANTAMARIA RODRIGUEZ,JULIO CESAR JIMENEZ DIAZ
4,15,MC,AILIN VIVIANA JAVIER ZUÑIGA,VANESSA VARGAS VARELA
4,15,MOR,BALBINA ALEJANDRA HIDALGO ZAVALA,ADA LUISA CHAN CHAN
4,15,PES,Nombre Apellido Apellido,Nombre Apellido Apellido
4,15,RSP,MARITZA ELIZABETH ORDAZ PEREZ,ANA MARIA HUICAB DZIB
4,15,FM,LUIS ALBERTO COSGAYA SANTINI,GEYSI ZARATE TORRES
4,15,SUM-PAN-PRI-PRD,JOHNNY ALEJANDRO HEREDIA ITZA,PEDRO EUAN COYOC
4,16,PT,ZULLY CATHERINE MENDOZA CAHUN,ARELY ALISET DZUL CHAN
4,16,PVEM,LIVIA ARELI ARROYO AVILEZ,GELMI GRICEL TUZ UC
4,16,MC,JOSE ROBERTO GARMA AGUILAR,GUADALUPE DE LOS ANGELES CARVAJAL PACHECO
4,16,MOR,LILIANA IDALI SOSA HUCHIN,MARIA ADELAYDA CHAN DOMINGUEZ
4,16,PES,RUBI GUADALUPE ARJONA ANGULO,MARIELA YARITZA COLLI ROSARIO
4,16,RSP,ANDRES ANTONIO ALPUCHE NOH,RUBEN JUAREZ GARCIA
4,16,FM,TALINA DEL ROSARIO UC LLANES,AURORA RAMOS CHAN
4,16,SUM-PAN-PRI-PRD,AMBROCIO LOPEZ DELGADO,YARISEL GUADALUPE ALMEYDA NARVAEZ
4,17,PT,NEYDA DEL CARMEN SOSA CAUICH,JORGINA DE LOS ANGELES MARIN GAMBOA
4,17,PVEM,LIZA DLIZ CEN PACHECO,ANDREA BEATRIZ PAT CHAN
4,17,MC,VICTOR RAFAEL RODRIGUEZ ORTEGON,JUAN CARLOS MAY KU
4,17,MOR,IRAYDE DEL CARMEN AVILEZ KANTUN,MARTHA EUNICE CANCHE CHAN
4,17,PES,JOSE LUIS CEN CHI,JOSUE EFRAIN CUTZ CHAVEZ
4,17,RSP,ROSARIO DEL PILAR CAN CAN,MARIA SOFIA CUEVAS BOLIVAR
4,17,FM,MARIO ALEJANDRO PEREZ DZIB,CAROLINA DE LOS ANGELES ARENA CHI
4,17,SUM-PAN-PRI-PRD,GLORIA CRISTHIAN MAAS BALTAZAR,DIANA MAYTE LAGUNES CANUL
4,18,PT,JORGE ISMAEL ACOSTA CANUL,SILVERIO ANTONIO MAY DZIB
4,18,PVEM,YAZBETH SARAHI CHAN BARBOSA,MELISA DEL SOCORRO VALENCIA UC
4,18,MC,DIEGO ARMIN PACHECO EK,ISAAC LEMUEL MAAS KANTUN
4,18,MOR,JORGE ANTONIO UITZ KU,LUIS ALBERTO UCAN POOT
4,18,PES,Nombre Apellido Apellido,Nombre Apellido Apellido
4,18,RSP,OTILIO NOH MEX,GONZALA UCAN ANCHEVIDA
4,18,FM,ARIEL JESUS POOT RAMOS,ROSAURA DEL JESUS CHAN BIYEGAS
4,18,SUM-PAN-PRI-PRD,DIANA CONSUELO CAMPOS,GUADALUPE ASUNCION SANDOVAL CANCHE
4,19,PT,NELSON FIDEL COUOH CANTE,ALBERTO JESUS CHAN CHAN
4,19,PVEM,ALEXIS OROZCO CEH,JOAS ALBERTO UUH VELAZQUEZ
4,19,MC,MARIA DEL ROSARIO SIMA POOT,GUADALUPE MARITEL UC COLLI
4,19,MOR,ESTEBAN ROMAN YAM CAUICH,JAIME CASTILLO AGUAYO
4,19,PES,LIGIA KARINA MAY DAMIAN,AMELIA PAVON POOT
4,19,RSP,LIZBETH GRETTEL SOZAYA CHAN,JANNY MARIEE CAMBRANIS UC
4,19,FM,VICTOR ELIAS PEREYRA MELKEN,MANUEL HUMBERTO CHI BALAM
4,19,SUM-PAN-PRI-PRD,LEIDY MARIA KEB AYALA,SILVIA MARIA TZEEK COHUO
4,20,PT,INGRID ELOISA RAMOS ARROYO,CRYCENI CABAÑAS ARROYO
4,20,PVEM,OLIMPIA ALVAREZ CASANOVA,ROSALIA SANTIAGO SALVADOR
4,20,MC,TANIA ESTEPHANIA PATRICIA MORENO BULNES,SALOME DE LOURDES SALVADOR GOMEZ
4,20,MOR,LANDY MARIA VELASQUEZ MAY,EMILIN ROSELIA TERRONES RAGA
4,20,PES,SUGEY BERNAL JACOME,JITZEL VANESSA VADILLO OJEDA
4,20,RSP,DANIEL ALI GONZALEZ ALVARADO,FIDELIA DEL SOCORRO SOTO PEREZ
4,20,FM,ALEXSANDER HEREDIA MAY,CANDY DEL CARMEN DAMIAN MENESES
4,20,SUM-PAN-PRI-PRD,CARLOS CESAR JASSO RODRIGUEZ,JOSEFINA DEL CARMEN OJEDA MARTINEZ
4,21,PT,HERNAN ALVAREZ BURELO,JAVIER MORALES GOMEZ
4,21,PVEM,JUAN MANUEL COLLI ECHAZARRETA,YENI ZULEYMI PEÑATE DAMIAN
4,21,MC,MARIA DE LAS MERCEDES QUEB AKE,RUBI YANETH DE ATOCHA CARDONA
4,21,MOR,MARICELA FLORES MOO,ALMA BERALY CANCHE QUEB
4,21,PES,MARTINA DEL JESUS VILLEGAS MORENO,MARIA MARGARITA TAMAY CAAMAL
4,21,RSP,MARIA OFELIA RAMIREZ PEREZ,SONIA LETICIA PECH TUN
4,21,FM,DULCE MARIA ESQUIVEL RAMIREZ,ANTONIA GOMEZ GOMEZ
4,21,SUM-PAN-PRI-PRD,LUIS HUMBERTO CASTILLO VALENZUELA,MARIA CELIA FARIAS RODRIGUEZ
