GUBERNATURA
01/06/2021 18:52 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,0,0,0,0,0,0,0,0,0,,0,

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'040008C0100,'040008C010005,'04,CAMPECHE,'007,007. TENABO,'0008,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,
'040009B0100,'040009B010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
'040009C0100,'040009C010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
'040009C0200,'040009C020005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
'040009C0300,'040009C030005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,03,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
'040009C0400,'040009C040005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,04,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
'040009C0500,'040009C050005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,05,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,,,,
'040009C0600,'040009C060005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,06,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,,,,
'040010B0100,'040010B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0010,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,528,,,,,,,,,,,
'040010C0100,'040010C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0010,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,528,,,,,,,,,,,
'040011B0100,'040011B010005,'04,CAMPECHE,'007,007. TENABO,'0011,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,457,,,,,,,,,,,
'040011C0100,'040011C010005,'04,CAMPECHE,'007,007. TENABO,'0011,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,456,,,,,,,,,,,
'040012B0100,'040012B010005,'04,CAMPECHE,'007,007. TENABO,'0012,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,
'040012C0100,'040012C010005,'04,CAMPECHE,'007,007. TENABO,'0012,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,
'040012C0200,'040012C020005,'04,CAMPECHE,'007,007. TENABO,'0012,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,509,,,,,,,,,,,
'040012S0100,'040012S010005,'04,CAMPECHE,'007,007. TENABO,'0012,01,S,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
'040013B0100,'040013B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0013,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,
'040013C0100,'040013C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0013,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,
'040014B0100,'040014B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0014,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,,,,
'040014C0100,'040014C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0014,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,,,,
'040015B0100,'040015B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0015,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,576,,,,,,,,,,,
'040015C0100,'040015C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0015,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,576,,,,,,,,,,,
'040016B0100,'040016B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0016,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,,,,,
'040016C0100,'040016C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0016,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,,,,,
'040017B0100,'040017B010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,01,B,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,
'040017C0100,'040017C010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,01,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,
'040017C0200,'040017C020005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,02,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,
'040017C0300,'040017C030005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,03,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,
