AYUNTAMIENTOS
07/06/2021 14:40 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1193,927,3,924,77.4518,905,75.8591,1.5926,19,501897,319528,318877,63.5343

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,CAND_IND_1,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040105C0400,040105C040002,04,CAMPECHE,001,CAMPECHE,0105,04,C,00,1,2,447,280,7,287,6,55,4,7,8,107,80,0,2,2,,2,2,0,0,0,12,287,287,714,7,,1,F,2bd579618988096b76a0fc2387f92da2a20077e38d294022d2cfa1de0b6efb1f,07/06/2021 10:09:00,07/06/2021 10:15:06,07/06/2021 10:20:06,CATD,ESCANER,ACTA PREP
040105C0500,040105C050002,04,CAMPECHE,001,CAMPECHE,0105,05,C,00,1,2,409,318,5,0,17,64,1,7,4,131,87,0,2,1,,4,0,0,0,0,8,326,326,714,5,,1,F,af3db7d1b99fb82143b4987d123c4ede98a895a9f285016640a606991ed7f33c,07/06/2021 06:28:00,07/06/2021 06:33:50,07/06/2021 06:40:05,CATD,ESCANER,ACTA PREP
040105C0600,040105C060002,04,CAMPECHE,001,CAMPECHE,0105,06,C,00,1,2,426,303,3,309,12,54,3,6,4,132,84,3,1,2,,1,1,0,0,0,3,309,306,714,3,,1,F,fc1d6a7b9b27d2146614985e98c8e7afe841876a0f136ebafa7dc34b61c469b6,07/06/2021 08:52:00,07/06/2021 09:00:26,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040105C0700,040105C070002,04,CAMPECHE,001,CAMPECHE,0105,07,C,00,1,2,385,343,5,0,9,69,5,2,6,135,104,1,1,0,,2,0,0,0,0,7,341,341,714,5,,1,F,4240427d9c305f590b84d54ee764efe009dd972a394270a66a86f2dd59dfd99d,07/06/2021 08:15:00,07/06/2021 08:25:49,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040105C0800,040105C080002,04,CAMPECHE,001,CAMPECHE,0105,08,C,00,1,2,424,315,8,315,14,55,2,10,6,119,92,3,1,1,,3,0,0,1,0,7,315,314,714,8,,1,F,cb08b058ef5d045693c330ace174aa8bf821feeb8bb6f72fd4ae47a721658804,07/06/2021 02:40:00,07/06/2021 02:45:44,07/06/2021 03:00:08,CATD,ESCANER,ACTA PREP
040105C0900,040105C090002,04,CAMPECHE,001,CAMPECHE,0105,09,C,00,1,2,430,298,5,300,5,61,5,2,8,119,85,5,0,0,,0,1,0,0,0,9,300,300,713,5,,1,F,a4f71e8b48769ebeff3b24d5d6a1de2a76f8a9ca1a31923df68cc9b4a21136fe,07/06/2021 04:45:00,07/06/2021 04:50:46,07/06/2021 05:00:06,CATD,ESCANER,ACTA PREP
040106B0100,040106B010002,04,CAMPECHE,001,CAMPECHE,0106,01,B,00,1,2,193,481,7,488,24,117,7,3,8,157,155,0,2,2,,3,4,0,0,1,5,488,488,660,7,,1,F,20eb7c9e2f6e98a531bdc23af7764aabed0494d297c10a4b1cc29fc9cb984863,07/06/2021 07:22:00,07/06/2021 07:26:22,07/06/2021 07:40:05,CATD,ESCANER,ACTA PREP
040106C0100,040106C010002,04,CAMPECHE,001,CAMPECHE,0106,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,
040107B0100,040107B010002,04,CAMPECHE,001,CAMPECHE,0107,01,B,00,1,2,290,391,6,397,12,54,0,7,4,163,138,5,2,1,,4,1,0,0,0,6,397,397,666,6,,1,F,9c30cc7c7f3e9962f424de57f77def5c4d155114ae0f190e86ae79fdfcd60524,07/06/2021 05:22:00,07/06/2021 05:25:58,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
040107C0100,040107C010002,04,CAMPECHE,001,CAMPECHE,0107,01,C,00,1,2,282,384,8,382,14,87,5,16,2,104,139,4,4,3,,0,0,0,0,0,0,382,378,666,8,,1,F,b4ce93716c2a77c1c959d8a3b9e60bd9988301b431ec444050632f61f94fcff1,07/06/2021 05:20:00,07/06/2021 05:24:16,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
040108B0100,040108B010002,04,CAMPECHE,001,CAMPECHE,0108,01,B,00,1,2,338,322,8,331,13,74,2,3,7,109,108,3,1,1,,3,0,0,1,0,6,331,331,650,8,,1,F,1f95dde17ff39d23d38f4ef5ba3ba13fa715a6b33482dc1c9a4ab557c34d8ed2,07/06/2021 11:49:00,07/06/2021 12:33:43,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040108C0100,040108C010002,04,CAMPECHE,001,CAMPECHE,0108,01,C,00,1,2,312,351,8,357,14,80,0,10,5,121,109,6,2,1,,4,0,0,0,0,5,357,357,650,8,,1,F,fe4e5ae6a3bcbde2b96fb92a3e9ac516f79718edf7e932838d7488a992304f19,07/06/2021 05:25:00,07/06/2021 05:30:09,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
040108C0200,040108C020002,04,CAMPECHE,001,CAMPECHE,0108,02,C,00,1,2,316,347,7,356,9,82,3,7,7,114,119,3,1,0,,2,2,0,0,0,7,356,356,650,7,,1,F,7f712bf94e65be599430fdfadba10899bf30fce9b915529c50535ca61d82872a,07/06/2021 09:49:00,07/06/2021 09:54:29,07/06/2021 10:00:06,CATD,ESCANER,ACTA PREP
040108C0300,040108C030002,04,CAMPECHE,001,CAMPECHE,0108,03,C,00,1,2,325,338,6,344,16,84,0,2,6,123,16,3,3,2,,2,2,0,0,1,4,344,264,649,6,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,d7ec9f2d1df030a75c77469513cd72b3600ed54ab08d3760397085b44352c7af,07/06/2021 09:32:00,07/06/2021 10:02:29,07/06/2021 10:20:05,CATD,ESCANER,ACTA PREP
040108C0400,040108C040002,04,CAMPECHE,001,CAMPECHE,0108,04,C,00,1,2,307,364,7,364,15,86,1,14,2,122,102,0,5,0,,4,2,2,0,0,9,364,364,649,7,,1,F,56360ab85e3cf63b31fbb5e628365254e8005cdd5cdc2f3896e2c249ef36bcb1,07/06/2021 05:29:00,07/06/2021 05:34:17,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
040109B0100,040109B010002,04,CAMPECHE,001,CAMPECHE,0109,01,B,00,1,2,274,368,7,374,13,83,3,2,0,138,112,3,1,2,,3,0,0,0,0,14,374,374,629,7,,1,F,d0f436ada328679400c495716f1c03aa986b2cdab37e82c13e1fb081b40ac021,07/06/2021 09:31:00,07/06/2021 09:35:44,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040109C0100,040109C010002,04,CAMPECHE,001,CAMPECHE,0109,01,C,00,1,2,317,325,3,334,9,74,1,2,3,117,110,1,0,0,,6,2,0,0,0,9,334,334,629,3,,1,F,1bb3624dc509ef0188589ff1442ed69abbe75dd87c6e0df01d1636e6834e9612,07/06/2021 09:50:00,07/06/2021 10:03:38,,CATD,ESCANER,ACTA PREP
040109C0200,040109C020002,04,CAMPECHE,001,CAMPECHE,0109,02,C,00,1,2,310,334,4,326,13,83,13,2,13,126,82,1,0,1,,3,2,0,0,0,9,326,348,629,4,,1,F,fc9036cd9becaf0448e95fa02f1ed4e4ff0bb07b837600c6df0d1cba0111b1f8,07/06/2021 09:33:00,07/06/2021 09:37:36,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040109C0300,040109C030002,04,CAMPECHE,001,CAMPECHE,0109,03,C,00,1,2,298,341,10,352,13,78,4,3,3,122,110,5,1,0,,3,3,0,0,0,7,352,352,629,10,,1,F,e0abfafb2380cf5a44df655a66401b818a9585378acb27a3f287cbd9d6edd072,07/06/2021 09:28:00,07/06/2021 09:31:42,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040110B0100,040110B010002,04,CAMPECHE,001,CAMPECHE,0110,01,B,00,1,2,283,419,2,418,11,86,4,7,2,151,130,2,4,5,,0,2,0,0,0,14,418,418,684,2,,1,F,5c3c7b8ebf17c48d1e7c6640ab60d08f2a4866b263125a3f2e7c87023785d69b,07/06/2021 08:56:00,07/06/2021 09:00:33,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040110C0100,040110C010002,04,CAMPECHE,001,CAMPECHE,0110,01,C,00,1,2,290,406,7,415,4,93,3,3,2,163,128,3,1,1,,5,0,0,0,0,9,415,415,683,7,,1,F,16d53d46ce60af9b77467e3c9099dd83738a2af33f9ead2a9443a9646bbb9004,07/06/2021 08:30:00,07/06/2021 08:33:47,07/06/2021 08:40:05,CATD,ESCANER,ACTA PREP
040111B0100,040111B010002,04,CAMPECHE,001,CAMPECHE,0111,01,B,00,1,2,333,346,7,355,7,85,0,5,1,134,110,1,1,0,,3,3,0,0,1,4,355,355,666,7,,1,F,1e7220336a04b1ff1de84678ec1a803c8b106420160c0c305ead812b5483522d,07/06/2021 07:06:00,07/06/2021 07:09:34,07/06/2021 07:20:05,CATD,ESCANER,ACTA PREP
040111C0100,040111C010002,04,CAMPECHE,001,CAMPECHE,0111,01,C,00,1,2,301,380,4,372,13,79,1,6,4,131,124,2,5,0,,4,1,1,1,0,10,382,382,665,4,,1,F,48f49629dbd4ef152d51ce805bb7db9aa06144ba13d12f55234f5d12f429645e,07/06/2021 07:49:00,07/06/2021 07:54:02,07/06/2021 08:00:07,CATD,ESCANER,ACTA PREP
040111C0200,040111C020002,04,CAMPECHE,001,CAMPECHE,0111,02,C,00,1,2,307,372,6,378,11,87,2,7,3,132,112,2,3,1,,2,1,0,0,0,15,378,378,665,6,,1,F,80195ac8108f9057523c641caf63e07181a88c13cce9f91018ca02bacf264ca9,07/06/2021 07:45:00,07/06/2021 07:49:11,07/06/2021 08:00:07,CATD,ESCANER,ACTA PREP
040112B0100,040112B010002,04,CAMPECHE,001,CAMPECHE,0112,01,B,00,2,2,303,366,6,374,13,93,4,3,3,145,99,0,1,1,,3,1,0,0,1,7,374,374,644,6,,1,F,34737413c4598913964724fb1dd1abfe7e57e73efaf058bb5c29edae16d5eb63,07/06/2021 10:23:00,07/06/2021 10:27:27,07/06/2021 10:40:04,CATD,ESCANER,ACTA PREP
040112C0100,040112C010002,04,CAMPECHE,001,CAMPECHE,0112,01,C,00,2,2,313,349,5,349,9,72,1,6,4,139,103,0,2,3,,2,0,0,0,0,8,349,349,644,5,,1,F,f5bc7b8568a8b4dd1ef911e983fe9bb0f564f196190843b3f47d2694c439f9c3,07/06/2021 09:02:00,07/06/2021 09:07:52,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040112C0200,040112C020002,04,CAMPECHE,001,CAMPECHE,0112,02,C,00,2,2,325,331,2,331,11,74,1,1,4,123,107,2,1,4,,3,0,0,0,0,6,331,337,644,2,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,8a92a841e5e51089c79cd8ce5e9c9e961313061831f04c65e62db677e762416c,07/06/2021 09:10:00,07/06/2021 09:13:20,07/06/2021 09:20:05,CATD,ESCANER,ACTA PREP
040112C0300,040112C030002,04,CAMPECHE,001,CAMPECHE,0112,03,C,00,2,2,321,338,5,347,14,65,3,6,9,139,100,1,1,3,,1,0,0,0,0,5,347,347,644,5,,1,F,2b652956eebff023183a8c5e115c8d7c3472fece8da9040121613b5c88e2e017,07/06/2021 10:34:00,07/06/2021 10:43:01,,CATD,ESCANER,ACTA PREP
040112C0400,040112C040002,04,CAMPECHE,001,CAMPECHE,0112,04,C,00,2,2,299,361,3,363,7,72,8,4,7,147,111,3,0,0,,1,2,0,0,0,1,363,363,643,3,,1,F,a459494640b4f63240bf1d04da32ba27accd3c0db825ab4262078d8e0f75bd1b,07/06/2021 10:35:00,07/06/2021 10:39:23,07/06/2021 11:00:06,CATD,ESCANER,ACTA PREP
040112C0500,040112C050002,04,CAMPECHE,001,CAMPECHE,0112,05,C,00,2,2,312,348,3,351,14,68,3,2,7,129,110,3,2,1,,5,0,0,0,0,7,351,351,643,3,,1,F,d4c9416ba19648dd6c720ad8fdd44bf10de128a6f4fb689a9259b4b68cddc646,07/06/2021 10:40:00,07/06/2021 10:45:09,07/06/2021 11:00:06,CATD,ESCANER,ACTA PREP
040112C0600,040112C060002,04,CAMPECHE,001,CAMPECHE,0112,06,C,00,2,2,316,347,6,347,11,63,0,3,5,129,124,1,0,0,,3,0,0,0,0,8,347,347,643,6,,1,F,28f76b003bbe38b85aeefe8a64a825adc70552051448c3788ff20d7abd124329,07/06/2021 09:57:00,07/06/2021 10:01:10,07/06/2021 10:20:05,CATD,ESCANER,ACTA PREP
040112S0100,040112S010002,04,CAMPECHE,001,CAMPECHE,0112,01,S,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,TODOS ILEGIBLES O SIN DATO,0,F,7251958f71d1db938b6b914b7e4a90e6cee71384a81a75674aa89a5e085156c9,07/06/2021 07:40:00,07/06/2021 07:47:59,07/06/2021 08:00:07,CATD,ESCANER,ACTA PREP
040113B0100,040113B010002,04,CAMPECHE,001,CAMPECHE,0113,01,B,00,1,2,141,302,9,302,4,54,2,7,1,98,106,8,0,4,,1,2,0,1,0,14,302,302,422,9,,1,F,a25d7083d8de4e0968b90781defd51fbe74cdcfed9ce861ebad615cf93e37340,07/06/2021 09:42:00,07/06/2021 09:45:41,07/06/2021 10:00:06,CATD,ESCANER,ACTA PREP
040113C0100,040113C010002,04,CAMPECHE,001,CAMPECHE,0113,01,C,00,1,2,144,290,8,286,13,51,1,3,1,108,93,2,1,2,,1,0,0,0,0,10,286,286,422,8,,1,F,769fc501b93507904073329be8e2fc7f06cb670da83dc208de1f766e34a42526,07/06/2021 09:39:00,07/06/2021 09:43:09,07/06/2021 10:00:06,CATD,ESCANER,ACTA PREP
040114B0100,040114B010002,04,CAMPECHE,001,CAMPECHE,0114,01,B,00,1,2,248,392,10,0,8,74,4,7,3,127,148,3,3,8,,0,0,0,0,0,7,392,392,620,10,,1,F,c26ad0331017269c3b7ce59faf69417346158531e71a178ebbfe6ee94fb5bb92,07/06/2021 02:12:00,07/06/2021 02:16:44,07/06/2021 02:20:05,CATD,ESCANER,ACTA PREP
040114C0100,040114C010002,04,CAMPECHE,001,CAMPECHE,0114,01,C,00,1,2,226,408,5,412,7,69,2,0,3,156,148,5,4,5,,0,0,0,0,0,13,412,412,619,5,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,9c24d974588d37bebb0ecfdd670b29ce584120813aa966a2c1c4845b7d16ebdb,07/06/2021 03:18:00,07/06/2021 03:22:05,07/06/2021 03:40:05,CATD,ESCANER,ACTA PREP
040115B0100,040115B010002,04,CAMPECHE,001,CAMPECHE,0115,01,B,00,1,2,194,279,4,283,7,53,4,2,2,120,84,2,2,0,,1,0,0,1,0,5,283,283,457,4,,1,F,bf16ec4f8c1be99656efd52b3931a8d8628f924890f6d16f7116ae9e14b4e95b,07/06/2021 06:00:00,07/06/2021 06:04:58,07/06/2021 06:20:04,CATD,ESCANER,ACTA PREP
040115C0100,040115C010002,04,CAMPECHE,001,CAMPECHE,0115,01,C,00,1,2,202,261,4,0,6,58,0,4,2,94,91,1,0,0,,2,0,0,0,0,6,265,264,457,4,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,cedeb1b77ec8d2e91319dc1e105474613f99650cc9649ce8b482bd076ce4923c,07/06/2021 02:10:00,07/06/2021 02:13:30,07/06/2021 02:20:05,CATD,ESCANER,ACTA PREP
040116B0100,040116B010002,04,CAMPECHE,001,CAMPECHE,0116,01,B,00,2,2,205,383,1,384,7,100,2,6,0,155,97,2,1,2,,3,2,0,0,0,7,384,384,569,1,,1,F,88a4e3b07944d9cb242344b18f1fa8bfe9982665e5f02332d4e257b57532a147,07/06/2021 06:11:00,07/06/2021 06:14:50,07/06/2021 06:20:04,CATD,ESCANER,ACTA PREP
040116C0100,040116C010002,04,CAMPECHE,001,CAMPECHE,0116,01,C,00,2,2,231,353,5,358,9,93,3,3,1,117,112,4,3,2,,2,2,0,0,0,7,358,358,569,5,,1,F,4103bcb24b57ff603fe8bb95c2bfe0fc03159a8fcfc41c260436bef08906c377,07/06/2021 05:42:00,07/06/2021 05:47:12,07/06/2021 06:00:06,CATD,ESCANER,ACTA PREP
040117B0100,040117B010002,04,CAMPECHE,001,CAMPECHE,0117,01,B,00,1,2,228,351,7,354,13,93,10,4,3,128,88,2,0,1,,1,4,0,0,0,7,354,354,559,7,,1,F,838e922b7cac71cf09efc5e69ff5fbb25025dd3de8e3322ae6953c02b5751e1f,07/06/2021 05:38:00,07/06/2021 05:42:13,07/06/2021 06:00:06,CATD,ESCANER,ACTA PREP
040117C0100,040117C010002,04,CAMPECHE,001,CAMPECHE,0117,01,C,00,1,2,280,294,4,297,5,53,9,9,2,101,99,5,2,1,,0,1,0,1,0,9,297,297,559,4,,1,F,3f7ed494701178f9333c5599a39a0f755d9d369cb71d6183410c29e8e4515386,07/06/2021 04:35:00,07/06/2021 04:38:36,07/06/2021 05:00:06,CATD,ESCANER,ACTA PREP
040117C0200,040117C020002,04,CAMPECHE,001,CAMPECHE,0117,02,C,00,1,2,0,384,5,384,13,75,4,6,4,0,0,4,3,4,,1,0,0,0,0,0,384,114,558,5,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,fb3043d9b42dc6fa376761c7f99541e5d27d494bc4b7ef20059105c88e0ec818,07/06/2021 05:40:00,07/06/2021 05:57:12,,CATD,ESCANER,ACTA PREP
040118B0100,040118B010002,04,CAMPECHE,001,CAMPECHE,0118,01,B,00,2,2,199,307,0,307,14,90,2,2,7,90,84,1,3,2,,1,3,0,0,0,8,307,307,486,0,,1,F,9c16dc9cf72447c95d764b2d04139e27374492976d7246fe439234b881be4238,07/06/2021 07:01:00,07/06/2021 07:07:43,07/06/2021 07:20:05,CATD,ESCANER,ACTA PREP
040118C0100,040118C010002,04,CAMPECHE,001,CAMPECHE,0118,01,C,00,2,2,166,339,0,340,12,77,1,2,1,113,107,0,2,0,,2,6,1,0,0,16,340,340,485,0,,1,F,ab81d60429788c44c9fb441d90c549088bcf7b821b5835fe1e6ec5cce080af0f,07/06/2021 10:15:00,07/06/2021 10:17:59,07/06/2021 10:40:04,CATD,ESCANER,ACTA PREP
040119B0100,040119B010002,04,CAMPECHE,001,CAMPECHE,0119,01,B,00,2,2,86,344,3,347,12,92,3,1,2,168,49,0,12,1,,2,3,0,0,0,2,347,347,413,3,,1,F,e0e330b46dd14c50c58390e8369dcb6778c84fce5a193263d9083de691ad2d61,07/06/2021 10:48:00,07/06/2021 10:52:02,07/06/2021 11:00:06,CATD,ESCANER,ACTA PREP
040120B0100,040120B010002,04,CAMPECHE,001,CAMPECHE,0120,01,B,00,2,2,135,314,0,314,11,74,3,4,0,85,91,1,34,1,,2,1,0,0,0,7,314,314,429,0,,1,F,b1bd1b830fee7cd41bcf3c3d72ec5c30675075bd2f3bbcad6f4829fa1f991d26,07/06/2021 07:44:00,07/06/2021 07:47:27,07/06/2021 08:00:07,CATD,ESCANER,ACTA PREP
040120C0100,040120C010002,04,CAMPECHE,001,CAMPECHE,0120,01,C,00,2,2,118,331,0,331,11,71,1,4,0,142,66,2,19,0,,3,0,0,0,0,12,331,331,429,0,,1,F,90b937bcdf403be56dbd0a31c0dd57685355a747f7fab47e69b205ddc77a8468,07/06/2021 10:49:00,07/06/2021 10:53:41,07/06/2021 11:00:06,CATD,ESCANER,ACTA PREP
040121B0100,040121B010002,04,CAMPECHE,001,CAMPECHE,0121,01,B,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,465,,TODOS ILEGIBLES O SIN DATO,0,F,dbcd1c5325cd733cf61d2fa113acd484d22fb83994796dc961fe99104dee8b9a,07/06/2021 06:52:00,07/06/2021 07:03:32,07/06/2021 07:20:05,CATD,ESCANER,ACTA PREP
040121C0100,040121C010002,04,CAMPECHE,001,CAMPECHE,0121,01,C,00,2,2,157,325,3,328,13,100,1,5,5,91,92,2,5,1,,9,1,0,0,0,3,328,328,465,3,,1,F,32c2e4988c62f22ec576c0a773d30e357c08bc3d37570591003ee3c5cfabaee5,07/06/2021 07:47:00,07/06/2021 07:50:46,07/06/2021 08:00:07,CATD,ESCANER,ACTA PREP
040122B0100,040122B010002,04,CAMPECHE,001,CAMPECHE,0122,01,B,00,2,2,172,439,6,445,21,154,4,4,10,125,97,0,4,3,,0,0,0,0,0,17,445,439,597,6,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,187d6e9d27c538b324cdbbdb43461f424bb79b5f7bc7be6e3071f28f05cace1f,07/06/2021 10:16:00,07/06/2021 10:19:46,07/06/2021 10:40:04,CATD,ESCANER,ACTA PREP
040122C0100,040122C010002,04,CAMPECHE,001,CAMPECHE,0122,01,C,00,2,2,176,444,5,0,15,122,0,1,7,165,116,4,1,3,,5,0,0,0,0,10,449,449,596,5,,1,F,af9052a85ca1e57694c8d53fac24b30588fef475643f3afa1de8411b926814ee,07/06/2021 07:02:00,07/06/2021 07:06:46,07/06/2021 07:20:05,CATD,ESCANER,ACTA PREP
040122S0100,040122S010002,04,CAMPECHE,001,CAMPECHE,0122,01,S,00,2,2,865,150,0,150,1,46,0,0,0,61,33,1,1,1,,1,1,0,0,0,4,150,150,0,0,,1,F,23b51a8d9d9ba6640c6541972db7c8a5d7b33a7610733a504cccd3c8043a8889,07/06/2021 05:10:00,07/06/2021 05:17:04,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
040123B0100,040123B010002,04,CAMPECHE,001,CAMPECHE,0123,01,B,00,2,2,160,250,2,261,27,77,5,0,3,62,68,5,3,0,,0,0,0,0,0,11,261,261,395,2,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,8aa2d1d69bc011b63dcfc6ca7a87274538d27936cf42af3c1925c4bb44aa38d3,07/06/2021 08:12:00,07/06/2021 08:15:33,07/06/2021 08:20:05,CATD,ESCANER,ACTA PREP
040123C0100,040123C010002,04,CAMPECHE,001,CAMPECHE,0123,01,C,00,2,2,149,265,267,259,26,57,2,6,0,61,85,3,2,4,,0,0,0,0,0,13,259,259,395,267,,1,F,f6ecedeac119caeab8408c087bc13077b40d406d6afe21ab09546cb7c621e8d7,07/06/2021 10:08:00,07/06/2021 10:13:17,07/06/2021 10:20:06,CATD,ESCANER,ACTA PREP
040124B0100,040124B010002,04,CAMPECHE,001,CAMPECHE,0124,01,B,00,2,2,386,366,1,364,11,72,1,8,1,181,75,2,2,1,,0,1,0,0,0,9,364,364,733,1,,1,F,26dbdba3701fdb795518773bae66f607057b606710a42ec7f62029b5b18238cd,07/06/2021 09:30:00,07/06/2021 09:33:29,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040124C0100,040124C010002,04,CAMPECHE,001,CAMPECHE,0124,01,C,00,2,2,350,369,4,0,10,68,1,3,2,189,82,1,1,0,,5,0,0,1,0,6,369,369,732,4,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,350fad24153d7c64d7c1f1f4bb689330689a6ee4ad2157a203a71eaff0b3e90b,07/06/2021 11:07:00,07/06/2021 11:11:00,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040124C0200,040124C020002,04,CAMPECHE,001,CAMPECHE,0124,02,C,00,2,2,360,360,4,0,15,69,0,3,4,170,93,1,2,0,,0,0,0,0,0,3,360,360,732,4,,1,F,909b7d7396bad04b24a9ad35ac260720753f30311ba55f817674a7ae2f27d50b,07/06/2021 09:58:00,07/06/2021 10:02:24,07/06/2021 10:20:05,CATD,ESCANER,ACTA PREP
040124C0300,040124C030002,04,CAMPECHE,001,CAMPECHE,0124,03,C,00,2,2,386,370,6,370,12,65,3,3,3,173,109,1,2,1,,1,0,0,0,0,6,370,379,732,6,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,04b64cb6c24efc2a5fe00647c7238a2ecb8197b0604748e078e694578fd6efb8,07/06/2021 00:27:00,07/06/2021 00:32:08,07/06/2021 00:40:06,CATD,ESCANER,ACTA PREP
040124C0400,040124C040002,04,CAMPECHE,001,CAMPECHE,0124,04,C,00,2,2,390,355,7,362,15,57,1,3,2,185,89,0,0,1,,3,1,0,0,0,5,362,362,732,7,,1,F,3538710e4d5439252409775fbac88ed8dfa74f043e23d2e50598fbb8ab80cb31,07/06/2021 06:09:00,07/06/2021 06:16:42,07/06/2021 06:20:04,CATD,ESCANER,ACTA PREP
040124E0100,040124E010002,04,CAMPECHE,001,CAMPECHE,0124,01,E,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,
040124E0101,040124E010102,04,CAMPECHE,001,CAMPECHE,0124,01,E,01,2,2,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,
040125B0100,040125B010002,04,CAMPECHE,001,CAMPECHE,0125,01,B,00,2,2,,,,,,,,,,,,,,,,,,,,,,,,549,,,,,,,,,,,
040125C0100,040125C010002,04,CAMPECHE,001,CAMPECHE,0125,01,C,00,2,2,226,341,1,342,9,93,1,6,6,96,106,2,0,4,,3,2,0,0,0,14,342,342,548,1,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,99a567e4ebd7657f30ed31c48a0986af2a92d83b90d3ad76c899052f711a28c3,07/06/2021 09:19:00,07/06/2021 09:23:58,07/06/2021 09:40:04,CATD,ESCANER,ACTA PREP
040125C0200,040125C020002,04,CAMPECHE,001,CAMPECHE,0125,02,C,00,2,2,214,347,6,353,21,81,3,9,11,104,103,3,0,4,,1,1,0,0,0,11,353,352,548,6,,1,F,5e3ba1a45ce5cd212872aaa821954bae598da5109b3130116184905432a19691,07/06/2021 09:36:00,07/06/2021 09:39:13,07/06/2021 10:00:06,CATD,ESCANER,ACTA PREP
040126B0100,040126B010002,04,CAMPECHE,001,CAMPECHE,0126,01,B,00,1,2,326,392,1,392,28,79,3,7,12,122,126,2,1,0,,1,1,1,0,0,9,392,392,699,1,,1,F,ab60efb97952902978a34ac355bb8ac6e0dd921e75d1d87284af58a56d7f425e,07/06/2021 08:22:00,07/06/2021 08:25:55,07/06/2021 08:40:05,CATD,ESCANER,ACTA PREP
040126C0100,040126C010002,04,CAMPECHE,001,CAMPECHE,0126,01,C,00,1,2,322,395,1,0,22,78,1,7,19,134,116,6,2,1,,1,1,0,0,0,8,396,396,698,1,,1,F,68252e26a9c9218300a0fe34f6ee1b19d9818816fb192f0eb473e1c37c5c6cd3,07/06/2021 10:24:00,07/06/2021 10:33:55,07/06/2021 10:40:04,CATD,ESCANER,ACTA PREP
