JUNTAS
06/06/2021 22:40 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
271,0,0,0,0,0,0,0,0,0,0,0,0

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040144B0100,040144B010007,04,CAMPECHE,001,PICH,0144,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,
040145B0100,040145B010007,04,CAMPECHE,001,PICH,0145,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,
040145C0100,040145C010007,04,CAMPECHE,001,PICH,0145,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,422,,,,,,,,,,,
040146B0100,040146B010007,04,CAMPECHE,001,PICH,0146,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,491,,,,,,,,,,,
040157B0100,040157B010007,04,CAMPECHE,005,BECAL,0157,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,
040157C0100,040157C010007,04,CAMPECHE,005,BECAL,0157,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,
040158B0100,040158B010007,04,CAMPECHE,006,NUNKINI,0158,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,441,,,,,,,,,,,
040158C0100,040158C010007,04,CAMPECHE,006,NUNKINI,0158,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,441,,,,,,,,,,,
040159B0100,040159B010007,04,CAMPECHE,005,BECAL,0159,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,,
040159C0100,040159C010007,04,CAMPECHE,005,BECAL,0159,01,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,411,,,,,,,,,,,
